"","OBJECTID","CMM","CM","TYPE_","NIVEAU","GISEMENT","TRANCHE","ZONE_","RAPPORT_MIN","MINR_PASSANT","X","Y","Z","PT","PP","BPL_B","RP","CO2_B","CAO_B","SIO2_B","FE2O3_B","AL2O3_B","F_B","CORG_B","NA2O_B","K2O_B","MGO_B","CD_B","U_B","AS_B","V_B","ZN_B","TI_B","TR_B","SR_B","CL_B","Mo_B","Cr_B","SIO2_L","MGO_L","CD_L","CO2_L","SO3_B","AS_L","CL_L","SIO2R_B","Th_B","ORDRE","OBS"
"4952",4952,"CMM1382","CM290","MINERALURGIE","C3SN1","G8","","Zone9","429","0","424686,95","270017,7","0","0,92","0,92","62,054","0","0","0","6,6355","0","0","0","0","0","0","3,565","62,1","0","10,35","0","0","0","0","0","115","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4954",4954,"CMM1391","CM297","MINERALURGIE","C3SN1","G8","","Zone9","429","0","423571,887","268218,847","0","0,805","0,805","60,1795","0","0","0","4,922","0","0","0","0","0","0","0,9775","66,7","0","13,8","0","0","0","0","0","230","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4955",4955,"CMM1392","CM298","MINERALURGIE","C3SN1","G8","","Zone9","429","0","420099,1285","270235,4295","0","0,69","0,69","60,329","0","0","0","6,325","0","0","0","0","0","0","5,3705","29,9","0","14,95","0","0","0","0","0","115","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4956",4956,"CMM1393","CM299","MINERALURGIE","C3SN1","G8","","Zone9","429","0","421218,6305","270242,249","0","0,805","0,805","60,9845","0","0","0","4,462","0","0","0","0","0","0","3,381","35,65","0","11,5","0","0","0","0","0","207","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4957",4957,"CMM1394","CM300","MINERALURGIE","C3SN1","G8","","Zone9","429","0","422420,852","270261,891","0","1,035","1,035","62,376","0","0","0","13,57","0","0","0","0","0","0","2,829","10,35","0","10,35","0","0","0","0","0","460","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4960",4960,"CMM1399","CM304","MINERALURGIE","C3SN1","G8","","Zone9","429","0","421236,72","268223,033","0","0,7475","0,7475","64,285","0","0","0","5,773","0","0","0","0","0","0","4,37","33,35","0","12,65","0","0","0","0","0","152,95","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4961",4961,"CMM1434","CM16","MINERALURGIE","C3SN1","G8","","Zone9","429","0","421827,7625","266213,9025","0","0,4025","0,4025","58,7995","0","0","0","4,83","0","0","0","0","0","0","0,4255","65,55","0","11,5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4962",4962,"CMM1438","CM17","MINERALURGIE","C3SN1","G8","","Zone9","429","0","420843,1555","266609,9395","0","0,575","0,575","0","0","0","0","4,968","0","0","0","0","0","0","4,14","82,8","0","13,8","0","0","0","0","0","253","0","0","0","0","0","0","0","0","0","0","0","37,95","#VALEUR!"
"4963",4963,"CMM1439","CM18","MINERALURGIE","C3SN1","G8","","Zone9","429","0","423235,397","272574,242","0","1,84","1,84","69,874","0","0","0","6,1525","0","0","0","0","0","0","0,8855","17,25","0","9,2","0","0","0","0","0","644","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4964",4964,"CMM1440","CM19","MINERALURGIE","C3SN1","G8","","Zone9","429","0","422910,292","266947,085","0","0,8625","0,8625","61,0305","0","0","0","5,497","0","0","0","0","0","0","2,3115","56,35","0","9,2","0","0","0","0","0","276","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4966",4966,"CMM1442","CM21","MINERALURGIE","C3SN1","G8","","Zone9","429","0","420501,5365","269963,8685","0","0,6325","0,6325","65,2395","0","0","0","6,417","0","0","0","0","0","0","2,53","25,3","0","14,95","0","0","0","0","0","184","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4970",4970,"CMM1471","CM27","MINERALURGIE","C3SN1","G8","","Zone9","429","0","422469,198","271846,8555","0","0,805","0,805","67,091","0","0","0","5,98","0","0","0","0","0","0","2,9325","26,45","0","24,15","0","0","0","0","0","391","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4972",4972,"CMM1474","CM29","MINERALURGIE","C3SN1","G8","","Zone9","429","0","421461,4875","269077,92","0","0,7475","0,7475","59,823","0","0","0","4,6","0","0","0","0","0","0","3,22","41,4","0","18,4","0","0","0","0","0","805","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4974",4974,"CMM1501","CM385","MINERALURGIE","C3SN1","G8","","Zone9","429","0","419311,9765","269795,5085","0","1,035","1,035","66,2975","0","0","0","5,6925","0","0","0","0","0","0","3,726","12,65","0","8,05","0","0","0","0","0","128,8","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4975",4975,"CMM1528","CM32","MINERALURGIE","C3SN1","G8","","Zone9","429","0","420557,967","272378,029","0","0,7475","0,7475","63,158","0","0","0","6,946","0","0","0","0","0","0","3,45","47,15","0","8,05","0","0","0","0","0","471,5","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4976",4976,"CMM1533","CM415","MINERALURGIE","C3SN1","G8","","Zone9","429","0","419311,045","268810,4185","0","0,805","0,805","60,1105","0","0","0","5,3705","0","0","0","0","0","0","4,6345","29,9","0","10,35","0","0","0","0","0","128,8","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4977",4977,"CMM1535","CM417","MINERALURGIE","C3SN1","G8","","Zone9","429","0","419600,1665","268314,412","0","0,69","0,69","56,925","0","0","0","6,3135","0","0","0","0","0","0","4,8645","57,5","0","10,35","0","0","0","0","0","81,65","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4978",4978,"CMM1536","CM418","MINERALURGIE","C3SN1","G8","","Zone9","429","0","419314,8975","267815,4155","0","0,575","0,575","54,7515","0","0","0","5,75","0","0","0","0","0","0","4,899","58,65","0","9,2","0","0","0","0","0","198,95","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4979",4979,"CMM1538","CM420","MINERALURGIE","C3SN1","G8","","Zone9","429","0","419318,3015","266826,0705","0","0,805","0,805","61,249","0","0","0","5,2325","0","0","0","0","0","0","3,91","73,6","0","8,05","0","0","0","0","0","128,8","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4980",4980,"CMM1540","CM422","MINERALURGIE","C3SN1","G8","","Zone9","429","0","420736,263","268311,9165","0","1,38","1,38","61,157","0","0","0","4,9105","0","0","0","0","0","0","3,91","48,3","0","13,8","0","0","0","0","0","128,8","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4981",4981,"CMM1541","CM423","MINERALURGIE","C3SN1","G8","","Zone9","429","0","420461,7235","267824,397","0","0,805","0,805","68,5285","0","0","0","5,198","0","0","0","0","0","0","1,978","36,8","0","18,4","0","0","0","0","0","105,8","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4983",4983,"CMM1543","CM425","MINERALURGIE","C3SN1","G8","","Zone9","429","0","419895,8775","266825,369","0","0,805","0,805","57,937","0","0","0","4,9795","0","0","0","0","0","0","4,5885","81,65","0","18,4","0","0","0","0","0","679,65","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4985",4985,"CMM1545","CM427","MINERALURGIE","C3SN1","G8","","Zone9","429","0","421029,3405","267814,3575","0","0,575","0,575","71,3575","0","0","0","4,1515","0","0","0","0","0","0","1,863","17,25","0","10,35","0","0","0","0","0","212,75","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4986",4986,"CMM1546","CM428","MINERALURGIE","C3SN1","G8","","Zone9","429","0","421602,788","267820,51","0","0,575","0,575","69,7705","0","0","0","4,6345","0","0","0","0","0","0","0,6095","24,15","0","11,5","0","0","0","0","0","552","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4990",4990,"CMM1550","CM432","MINERALURGIE","C3SN1","G8","","Zone9","429","0","421049,3505","265838,876","0","0,9775","0,9775","54,602","0","0","0","4,6345","0","0","0","0","0","0","0,5175","92","0","14,95","0","0","0","0","0","128,8","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4991",4991,"CMM1551","CM433","MINERALURGIE","C3SN1","G8","","Zone9","429","0","421616,0245","266822,908","0","0,46","0,46","57,1205","0","0","0","6,325","0","0","0","0","0","0","0,7015","36,8","0","9,2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4992",4992,"CMM1552","CM434","MINERALURGIE","C3SN1","G8","","Zone9","429","0","422470,992","267333,301","0","0,6325","0,6325","66,4585","0","0","0","4,2435","0","0","0","0","0","0","0,414","46","0","12,65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4993",4993,"CMM1553","CM435","MINERALURGIE","C3SN1","G8","","Zone9","429","0","422189,702","266831,119","0","0,92","0,92","61,6975","0","0","0","4,577","0","0","0","0","0","0","0,5865","67,85","0","4,6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4994",4994,"CMM1554","CM436","MINERALURGIE","C3SN1","G8","","Zone9","429","0","421621,303","265841,291","0","0,69","0,69","55,0045","0","0","0","5,1405","0","0","0","0","0","0","1,725","77,05","0","6,9","0","0","0","0","0","149,5","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4995",4995,"CMM1555","CM437","MINERALURGIE","C3SN1","G8","","Zone9","429","0","422196,4985","265842,9815","0","0,805","0,805","66,217","0","0","0","4,508","0","0","0","0","0","0","1,61","47,15","0","11,5","0","0","0","0","0","200,1","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4996",4996,"CMM1557","CM439","MINERALURGIE","C3SN1","G8","","Zone9","429","0","423052,938","266344,554","0","0,575","0,575","62,5715","0","0","0","5,037","0","0","0","0","0","0","2,967","67,85","0","13,8","0","0","0","0","0","200,1","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4998",4998,"CMM1559","CM441","MINERALURGIE","C3SN1","G8","","Zone9","429","0","423341,68","265848,766","0","0,8625","0,8625","59,225","0","0","0","5,3705","0","0","0","0","0","0","3,4385","111,55","0","9,2","0","0","0","0","0","200,1","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"4999",4999,"CMM1560","CM442","MINERALURGIE","C3SN1","G8","","Zone9","429","0","424203,5475","266350,603","0","0,575","0,575","58,926","0","0","0","5,4625","0","0","0","0","0","0","1,6445","79,35","0","12,65","0","0","0","0","0","213,9","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"5000",5000,"CMM1561","CM443","MINERALURGIE","C3SN1","G8","","Zone9","429","0","423916,749","265849,7665","0","0,4025","0,4025","63,6295","0","0","0","5,5085","0","0","0","0","0","0","2,484","71,3","0","17,25","0","0","0","0","0","274,85","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"5001",5001,"CMM1562","CM444","MINERALURGIE","C3SN1","G8","","Zone9","429","0","424493,497","265851,7215","0","0,69","0,69","59,57","0","0","0","5,2325","0","0","0","0","0","0","3,289","88,55","0","10,35","0","0","0","0","0","737,15","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"5002",5002,"CMM1563","CM445","MINERALURGIE","C3SN1","G8","","Zone9","429","0","425066,0475","265854,033","0","0,23","0,23","76,0495","0","0","0","4,3815","0","0","0","0","0","0","0,736","14,95","0","17,25","0","0","0","0","0","200,1","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"5004",5004,"CMM1597","CM473","MINERALURGIE","C3SN1","G8","","Zone9","429","0","424708,5355","267211,6425","0","0,46","0,46","70,1845","0","0","0","5,2325","0","0","0","0","0","0","2,737","72,45","0","18,4","0","0","0","0","0","713","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"5005",5005,"CMM1598","CM474","MINERALURGIE","C3SN1","G8","","Zone9","429","0","424237,714","267223,6025","0","0,6325","0,6325","57,707","0","0","0","5,428","0","0","0","0","0","0","9,66","70,15","0","13,8","0","0","0","0","0","200,1","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"5006",5006,"CMM1599","CM475","MINERALURGIE","C3SN1","G8","","Zone9","429","0","420674,048","267215,334","0","0,69","0,69","56,2925","0","0","0","5,129","0","0","0","0","0","0","2,967","113,85","0","6,9","0","0","0","0","0","187,45","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"5007",5007,"CMM1600","CM35","MINERALURGIE","C3SN1","G8","","Zone9","429","0","424844,5","267754,5","0","0,7475","0,7475","61,571","0","0","0","4,5885","0","0","0","0","0","0","3,2085","58,65","0","10,35","0","0","0","0","0","667","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"5010",5010,"CMM1608","CM480","MINERALURGIE","C3SN1","G8","","Zone9","429","0","423570,9785","266251,8525","0","0,6325","0,6325","68,793","0","0","0","4,876","0","0","0","0","0","0","2,208","36,8","0","9,2","0","0","0","0","0","187,45","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"5011",5011,"CMM1609","CM481","MINERALURGIE","C3SN1","G8","","Zone9","429","0","424736,9865","266234,292","0","0,7475","0,7475","58,4085","0","0","0","5,0025","0","0","0","0","0","0","2,0355","46","0","8,05","0","0","0","0","0","949,9","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"5012",5012,"CMM1610","CM482","MINERALURGIE","C3SN1","G8","","Zone9","429","0","425316,9315","266195,974","0","0,575","0,575","63,158","0","0","0","5,1175","0","0","0","0","0","0","3,22","52,9","0","4,6","0","0","0","0","0","300,15","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"5013",5013,"CMM1667","CM535","MINERALURGIE","C3SN1","G8","","Zone9","429","0","419580,3405","270274,334","0","0,805","0,805","56,2005","0","0","0","7,452","0","0","0","0","0","0","5,014","66,7","0","6,9","0","0","0","0","0","225,4","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"5014",5014,"CMM1670","CM538","MINERALURGIE","C3SN1","G8","","Zone9","429","0","420721,4855","270281,4065","0","0,805","0,805","60,3175","0","0","0","5,7845","0","0","0","0","0","0","3,8295","59,8","0","10,35","0","0","0","0","0","119,6","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"5016",5016,"CMM1675","CM543","MINERALURGIE","C3SN1","G8","","Zone9","429","0","422119,299","270778,1145","0","0,7475","0,7475","54,487","0","0","0","5,29","0","0","0","0","0","0","5,106","43,7","0","19,55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"5020",5020,"CMM1680","CM548","MINERALURGIE","C3SN1","G8","","Zone9","429","0","422688,6525","270786,015","0","0,92","0,92","65,09","0","0","0","6,601","0","0","0","0","0","0","0,414","58,65","0","21,85","0","0","0","0","0","239,2","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"5022",5022,"CMM1682","CM550","MINERALURGIE","C3SN1","G8","","Zone9","429","0","423232,6255","271730,763","0","1,3225","1,3225","62,9165","0","0","0","7,038","0","0","0","0","0","0","0,46","26,45","0","21,85","0","0","0","0","0","299","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"5024",5024,"CMM1685","CM552","MINERALURGIE","C3SN1","G8","","Zone9","429","0","422425,774","269303,4925","0","0,69","0,69","60,6165","0","0","0","5,1635","0","0","0","0","0","0","3,2775","86,25","0","10,35","0","0","0","0","0","192,05","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"5025",5025,"CMM1689","CM556","MINERALURGIE","C3SN1","G8","","Zone9","429","0","423284,7435","269811,0795","0","0,92","0,92","57,6495","0","0","0","5,221","0","0","0","0","0","0","4,186","59,8","0","11,5","0","0","0","0","0","359,95","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"5026",5026,"CMM1690","CM557","MINERALURGIE","C3SN1","G8","","Zone9","429","0","423716,212","269607,633","0","0,69","0,69","54,7515","0","0","0","6,1525","0","0","0","0","0","0","2,5645","60,95","0","13,8","0","0","0","0","0","359,95","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"5027",5027,"CMM1691","CM558","MINERALURGIE","C3SN1","G8","","Zone9","429","0","423209,361","268818,3305","0","0,805","0,805","66,24","0","0","0","5,0255","0","0","0","0","0","0","2,99","52,9","0","11,5","0","0","0","0","0","179,4","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"5028",5028,"CMM1692","CM559","MINERALURGIE","C3SN1","G8","","Zone9","429","0","423013,838","268317,126","0","0,92","0,92","69,621","0","0","0","8,142","0","0","0","0","0","0","0,483","27,6","0","20,7","0","0","0","0","0","263,35","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"5029",5029,"CMM1693","CM560","MINERALURGIE","C3SN1","G8","","Zone9","429","0","422731,191","267817,681","0","0,46","0,46","65,4235","0","0","0","5,1865","0","0","0","0","0","0","0,299","70,15","0","14,95","0","0","0","0","0","95,45","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"5030",5030,"CMM1694","CM561","MINERALURGIE","C3SN1","G8","","Zone9","429","0","423026,9365","267323,1925","0","0,805","0,805","72,45","0","0","0","4,9335","0","0","0","0","0","0","0,4485","13,8","0","10,35","0","0","0","0","0","934,95","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"5031",5031,"CMM1695","CM562","MINERALURGIE","C3SN1","G8","","Zone9","429","0","423865,7005","268825,932","0","0,7475","0,7475","60,812","0","0","0","5,3015","0","0","0","0","0","0","4,0595","82,8","0","12,65","0","0","0","0","0","539,35","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"5033",5033,"CMM1698","CM565","MINERALURGIE","C3SN1","G8","","Zone9","429","0","423593,9555","267326,3435","0","0,805","0,805","66,6885","0","0","0","5,359","0","0","0","0","0","0","3,5075","21,85","0","11,5","0","0","0","0","0","167,9","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"5035",5035,"CMM1701","CM568","MINERALURGIE","C3SN1","G8","","Zone9","429","0","424994,023","268832,349","0","0,69","0,69","57,6265","0","0","0","4,9565","0","0","0","0","0","0","5,3705","71,3","0","11,5","0","0","0","0","0","207","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"5036",5036,"CMM1702","CM569","MINERALURGIE","C3SN1","G8","","Zone9","429","0","425423,8355","268603,5335","0","0,5175","0,5175","59,685","0","0","0","4,646","0","0","0","0","0","0","3,358","63,25","0","10,35","0","0","0","0","0","552","0","0","0","0","0","0","0","0","0","0","0","37,95","0"
"5040",5040,"CMM1159","CM78","MINERALURGIE","C3SN2","G8","","Zone9","429","0","423093,05","272161,3","0","0,6325","0,6325","48,438","0","0","0","10,4075","0","0","0","0","0","0","7,8545","48,3","0","10,35","0","0","0","0","0","855,6","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
"5041",5041,"CMM1160","CM79","MINERALURGIE","C3SN2","G8","","Zone9","429","0","422538,2325","272396,728","0","0,575","0,575","58,075","0","0","0","9,2805","0","0","0","0","0","0","4,9335","13,8","0","24,15","0","0","0","0","0","143,75","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
"5042",5042,"CMM1161","CM80","MINERALURGIE","C3SN2","G8","","Zone9","429","0","422674,5535","272714,243","0","0,9775","0,9775","61,019","0","0","0","6,716","0","0","0","0","0","0","4,9335","29,9","0","18,4","0","0","0","0","0","299","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
"5043",5043,"CMM1164","CM83","MINERALURGIE","C3SN2","G8","","Zone9","429","0","422262,75","273265,3","0","0,92","0,92","49,5075","0","0","0","9,453","0","0","0","0","0","0","6,785","18,4","0","11,5","0","0","0","0","0","251,85","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
"5044",5044,"CMM1180","CM99","MINERALURGIE","C3SN2","G8","","Zone9","429","0","419569,565","271446,4025","0","1,725","1,725","59,2365","0","0","0","5,773","0","0","0","0","0","0","5,8535","31,05","0","13,8","0","0","0","0","0","188,6","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
"5045",5045,"CMM1181","CM100","MINERALURGIE","C3SN2","G8","","Zone9","429","0","419686,5085","270830,6695","0","0,805","0,805","41,492","0","0","0","8,8895","0","0","0","0","0","0","10,465","34,5","0","6,9","0","0","0","0","0","156,4","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
"5046",5046,"CMM1182","CM101","MINERALURGIE","C3SN2","G8","","Zone9","429","0","419999,1475","271828,2485","0","1,15","1,15","62,836","0","0","0","5,8535","0","0","0","0","0","0","2,9325","88,55","0","14,95","0","0","0","0","0","131,1","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
"5048",5048,"CMM1185","CM104","MINERALURGIE","C3SN2","G8","","Zone9","429","0","420659,0405","271084,601","0","1,15","1,15","52,6355","0","0","0","8,809","0","0","0","0","0","0","5,29","24,15","0","14,95","0","0","0","0","0","169,05","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
"5049",5049,"CMM1188","CM107","MINERALURGIE","C3SN2","G8","","Zone9","429","0","421090,0375","271466,3435","0","0,9775","0,9775","46,23","0","0","0","9,476","0","0","0","0","0","0","6,8885","24,15","0","17,25","0","0","0","0","0","131,1","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
"5050",5050,"CMM1190","CM109","MINERALURGIE","C3SN2","G8","","Zone9","429","0","421404,85","272412,805","0","0,6325","0,6325","49,473","0","0","0","9,4645","0","0","0","0","0","0","7,3715","21,85","0","10,35","0","0","0","0","0","194,35","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
"5051",5051,"CMM1193","CM112","MINERALURGIE","C3SN2","G8","","Zone9","429","0","422182,94","271106,75","0","0,575","0,575","56,2695","0","0","0","10,258","0","0","0","0","0","0","5,75","13,8","0","12,65","0","0","0","0","0","181,7","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
"5052",5052,"CMM1283","CM9","MINERALURGIE","C3SN2","G8","","Zone9","429","0","423770,009","270030,8445","0","0,92","0,92","56,81","0","0","0","5,06","0","0","0","0","0","0","5,083","52,9","0","14,95","0","0","0","0","0","181,7","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
"5054",5054,"CMM1347","CM256","MINERALURGIE","C3SN2","G8","","Zone9","429","0","422293,8","273851,8","0","1,15","1,15","44,8385","0","0","0","0","0","0","0","0","0","0","0","25,3","0","6,9","0","0","0","0","0","232,3","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
"5055",5055,"CMM1349","CM257","MINERALURGIE","C3SN2","G8","","Zone9","429","0","422231,125","273581,55","0","0,805","0,805","63,4225","0","0","0","8,97","0","0","0","0","0","0","8,74","12,65","0","9,2","0","0","0","0","0","181,7","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
"5056",5056,"CMM1350","CM258","MINERALURGIE","C3SN2","G8","","Zone9","429","0","422499,65","273667,8","0","0,8625","0,8625","66,2515","0","0","0","9,0275","0","0","0","0","0","0","3,772","14,95","0","12,65","0","0","0","0","0","203,55","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
"5057",5057,"CMM1351","CM259","MINERALURGIE","C3SN2","G8","","Zone9","429","0","423040,15","273185,95","0","0,69","0,69","60,536","0","0","0","7,6015","0","0","0","0","0","0","3,565","17,25","0","0","0","0","0","0","0","203,55","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
"5060",5060,"CMM1356","CM264","MINERALURGIE","C3SN2","G8","","Zone9","429","0","421769,4","273081,3","0","1,035","1,035","51,865","0","0","0","0","0","0","0","0","0","0","0","33,35","0","8,05","0","0","0","0","0","156,4","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
"5061",5061,"CMM1357","CM265","MINERALURGIE","C3SN2","G8","","Zone9","429","0","421558,95","272886,95","0","0,92","0,92","50,1975","0","0","0","8,0845","0","0","0","0","0","0","6,785","21,85","0","17,25","0","0","0","0","0","194,35","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
"5062",5062,"CMM1358","CM266","MINERALURGIE","C3SN2","G8","","Zone9","429","0","422395","272630,5","0","0,805","0,805","58,5235","0","0","0","11,132","0","0","0","0","0","0","6,5665","14,95","0","18,4","0","0","0","0","0","134,55","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
"5063",5063,"CMM1359","CM267","MINERALURGIE","C3SN2","G8","","Zone9","429","0","422102,9","272637,4","0","1,265","1,265","67,344","0","0","0","9,7865","0","0","0","0","0","0","5,06","8,05","0","20,7","0","0","0","0","0","123,05","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
"5064",5064,"CMM1360","CM268","MINERALURGIE","C3SN2","G8","","Zone9","429","0","421346,2","272693,75","0","1,7825","1,7825","53,8775","0","0","0","8,0845","0","0","0","0","0","0","2,967","20,7","0","11,5","0","0","0","0","0","123,05","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
"5066",5066,"CMM1363","CM271","MINERALURGIE","C3SN2","G8","","Zone9","429","0","424397,15","271728,9","0","0,805","0,805","62,215","0","0","0","10,2235","0","0","0","0","0","0","3,91","25,3","0","18,4","0","0","0","0","0","158,7","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
"5070",5070,"CMM1368","CM276","MINERALURGIE","C3SN2","G8","","Zone9","429","0","424736,975","270757,15","0","0,69","0,69","64,975","0","0","0","6,9","0","0","0","0","0","0","3,795","25,3","0","17,25","0","0","0","0","0","181,7","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
"5072",5072,"CMM1370","CM278","MINERALURGIE","C3SN2","G8","","Zone9","429","0","423545","271321,1905","0","0,46","0,46","56,9825","0","0","0","10,0395","0","0","0","0","0","0","2,806","70,15","0","20,7","0","0","0","0","0","217,35","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
"5074",5074,"CMM1373","CM281","MINERALURGIE","C3SN2","G8","","Zone9","429","0","424017,65","270779","0","0,92","0,92","60,099","0","0","0","6,9","0","0","0","0","0","0","4,324","25,3","0","17,25","0","0","0","0","0","147,2","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
"5075",5075,"CMM1375","CM283","MINERALURGIE","C3SN2","G8","","Zone9","429","0","424563,9","270590,4","0","0,69","0,69","60,628","0","0","0","8,5675","0","0","0","0","0","0","4,37","20,7","0","10,35","0","0","0","0","0","270,25","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
"5076",5076,"CMM1377","CM285","MINERALURGIE","C3SN2","G8","","Zone9","429","0","424903,15","270213,2","0","0,805","0,805","61,18","0","0","0","8,1075","0","0","0","0","0","0","4,6","20,7","0","18,4","0","0","0","0","0","270,25","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
"5077",5077,"CMM1378","CM286","MINERALURGIE","C3SN2","G8","","Zone9","429","0","424629,45","270298,3","0","0,92","0,92","54,7975","0","0","0","8,579","0","0","0","0","0","0","5,2325","39,1","0","23","0","0","0","0","0","257,6","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
"5078",5078,"CMM1379","CM287","MINERALURGIE","C3SN2","G8","","Zone9","429","0","424354,6","270381,675","0","0,69","0,69","60,582","0","0","0","6,969","0","0","0","0","0","0","4,623","27,6","0","11,5","0","0","0","0","0","205,85","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
"5079",5079,"CMM1380","CM288","MINERALURGIE","C3SN2","G8","","Zone9","429","0","424080,9","270465,05","0","0,575","0,575","33,396","0","0","0","15,7665","0","0","0","0","0","0","9,338","20,7","0","19,55","0","0","0","0","0","158,7","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
"5080",5080,"CMM1381","CM289","MINERALURGIE","C3SN2","G8","","Zone9","429","0","424413,25","270105,1","0","0,575","0,575","64,745","0","0","0","6,9575","0","0","0","0","0","0","3,335","46","0","19,55","0","0","0","0","0","299","0","0","0","0","0","0","0","0","0","0","0","39,1","0"
